"""combined adjusted net income""","""one""","""two""","""three""","""four""","""five""","""six_plus"""
13425.0,1700.0,2540.0,3004.0,3356.0,3692.0,4013.0
13475.0,1704.0,2545.0,3010.0,3362.0,3698.0,4020.0
13525.0,1708.0,2550.0,3016.0,3368.0,3705.0,4028.0
13575.0,1712.0,2555.0,3021.0,3375.0,3712.0,4035.0
13625.0,1715.0,2560.0,3027.0,3381.0,3719.0,4042.0
13675.0,1719.0,2566.0,3032.0,3387.0,3726.0,4050.0
13725.0,1723.0,2571.0,3038.0,3393.0,3732.0,4057.0
13775.0,1727.0,2576.0,3043.0,3399.0,3739.0,4064.0
13825.0,1731.0,2581.0,3049.0,3405.0,3746.0,4072.0
13875.0,1734.0,2586.0,3054.0,3412.0,3753.0,4079.0
13925.0,1738.0,2591.0,3060.0,3418.0,3760.0,4087.0
13975.0,1742.0,2597.0,3065.0,3424.0,3766.0,4094.0
14025.0,1746.0,2602.0,3071.0,3430.0,3773.0,4101.0
14075.0,1749.0,2607.0,3076.0,3436.0,3780.0,4109.0
14125.0,1753.0,2612.0,3082.0,3442.0,3787.0,4116.0
14175.0,1757.0,2617.0,3087.0,3449.0,3794.0,4124.0
14225.0,1761.0,2622.0,3093.0,3455.0,3800.0,4131.0
14275.0,1764.0,2628.0,3098.0,3461.0,3807.0,4138.0
14325.0,1768.0,2633.0,3104.0,3467.0,3814.0,4146.0
14375.0,1772.0,2638.0,3110.0,3473.0,3821.0,4153.0
14425.0,1776.0,2643.0,3115.0,3480.0,3828.0,4161.0
14475.0,1779.0,2648.0,3121.0,3486.0,3834.0,4168.0
14525.0,1783.0,2653.0,3126.0,3492.0,3841.0,4175.0
14575.0,1786.0,2658.0,3133.0,3499.0,3849.0,4184.0
14625.0,1789.0,2663.0,3139.0,3506.0,3857.0,4192.0
14675.0,1793.0,2668.0,3145.0,3513.0,3865.0,4201.0
14725.0,1796.0,2673.0,3152.0,3521.0,3873.0,4210.0
14775.0,1799.0,2679.0,3158.0,3528.0,3881.0,4218.0
14825.0,1802.0,2684.0,3165.0,3535.0,3889.0,4227.0
14875.0,1805.0,2689.0,3171.0,3542.0,3896.0,4235.0
14925.0,1808.0,2694.0,3178.0,3549.0,3904.0,4244.0
